dates,state,positivity_rate_cumulative,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,test_per_million
07 April,Arunachal Pradesh,,,,,,
08 April,Arunachal Pradesh,,,,,,
09 April,Arunachal Pradesh,,,,,,
10 April,Arunachal Pradesh,,,,,,
11 April,Arunachal Pradesh,,,,,,
12 April,Arunachal Pradesh,,,,,,
13 April,Arunachal Pradesh,,,,,,
14 April,Arunachal Pradesh,,,,,,
15 April,Arunachal Pradesh,,,,,,
16 April,Arunachal Pradesh,,,,,,
17 April,Arunachal Pradesh,,,,,,
18 April,Arunachal Pradesh,0.2570694087403599,0,,,,247.69844211051807
19 April,Arunachal Pradesh,,,,,,
20 April,Arunachal Pradesh,,,,,,
21 April,Arunachal Pradesh,0.22026431718061673,0,,,,289.08764194903654
22 April,Arunachal Pradesh,0.4032258064516129,1,,,,315.83143261392536
23 April,Arunachal Pradesh,,,,,,
24 April,Arunachal Pradesh,,,,0.3333333333333333,0.3333333333333333,
25 April,Arunachal Pradesh,,,,,,
26 April,Arunachal Pradesh,,,,0.5,0.5,
27 April,Arunachal Pradesh,0.3424657534246575,0,0.0,0.3333333333333333,0.3333333333333333,371.8660416260734
28 April,Arunachal Pradesh,0.32786885245901637,0,0.0,0.3333333333333333,0.3333333333333333,388.4217215614808
29 April,Arunachal Pradesh,0.3021148036253776,0,0.0,0.0,0.0,421.53308143229555
30 April,Arunachal Pradesh,0.2881844380403458,0,0.0,0.0,0.0,441.90930289125845
01 May,Arunachal Pradesh,0.27624309392265195,0,0.0,0.0,0.0,461.0120105090362
02 May,Arunachal Pradesh,,,,,,
03 May,Arunachal Pradesh,,,,0.0,0.0,
04 May,Arunachal Pradesh,0.23014959723820483,0,0.0,0.0,0.0,553.341763994962
05 May,Arunachal Pradesh,0.20618556701030927,0,0.0,0.0,0.0,617.6542129748137
06 May,Arunachal Pradesh,0.19249278152069296,0,0.0,0.0,0.0,661.5904404957025
07 May,Arunachal Pradesh,0.17482517482517482,0,0.0,0.0,0.0,728.4499171579247
08 May,Arunachal Pradesh,0.14771048744460857,0,0.0,0.0,0.0,862.1688704823688
09 May,Arunachal Pradesh,0.12523481527864747,0,0.0,0.0,0.0,1016.9008021863685
10 May,Arunachal Pradesh,0.10970927043335162,0,0.0,0.0,0.0,1160.8078662402943
11 May,Arunachal Pradesh,0.09624639076034648,0,0.0,0.0,0.0,1323.180880991405
12 May,Arunachal Pradesh,0.08861320336730173,0,0.0,0.0,0.0,1437.160369777479
13 May,Arunachal Pradesh,0.08054772452678212,0,0.0,0.0,0.0,1581.0674338314045
14 May,Arunachal Pradesh,0.07471049682480388,0,0.0,0.0,0.0,1704.5982764263674
15 May,Arunachal Pradesh,0.06798096532970768,0,0.0,0.0,0.0,1873.3388603834042
16 May,Arunachal Pradesh,0.06323110970597534,0,0.0,0.0,0.0,2014.0621398343667
17 May,Arunachal Pradesh,0.059719319199761124,0,0.0,0.0,0.0,2132.4989270645888
18 May,Arunachal Pradesh,0.054614964500273075,0,0.0,0.0,0.0,2331.8038432100698
19 May,Arunachal Pradesh,0.05074854097944684,0,0.0,0.0,0.0,2509.459024055403
20 May,Arunachal Pradesh,0.04811161895597787,0,0.0,0.0,0.0,2646.998518903403
21 May,Arunachal Pradesh,0.04506534474988734,0,0.0,0.0,0.0,2825.927213589921
22 May,Arunachal Pradesh,0.04128819157720892,0,0.0,0.0,0.0,3084.450523350513
23 May,Arunachal Pradesh,0.0384172109104879,0,0.0,0.0,0.0,3314.956528605031
24 May,Arunachal Pradesh,0.036845983787767135,0,0.0,0.0,0.0,3456.3165649765865
25 May,Arunachal Pradesh,0.03335000833750208,0,0.0,0.0,0.0,3818.631252793771
26 May,Arunachal Pradesh,0.03165057762304162,0,0.0,0.0,0.0,4023.6669812245855
27 May,Arunachal Pradesh,0.031075201988812928,0,0.0,0.0,0.0,4098.167540933919
28 May,Arunachal Pradesh,0.0429553264604811,1,0.0018248175182481751,0.14285714285714285,0.14285714285714285,4447.110333418659
29 May,Arunachal Pradesh,0.04006410256410257,0,0.0,0.14285714285714285,0.14285714285714285,4768.035821397325
30 May,Arunachal Pradesh,0.04989397530248223,1,0.001890359168241966,0.2857142857142857,0.2857142857142857,5104.880232390806
31 May,Arunachal Pradesh,0.048291681757817215,0,0.0,0.2857142857142857,0.2857142857142857,5274.257573268435
01 June,Arunachal Pradesh,0.2509124087591241,18,0.03711340206185567,2.857142857142857,2.857142857142857,5583.0846797558415
02 June,Arunachal Pradesh,0.3084040092521203,6,0.01929260450160772,3.7142857142857144,3.7142857142857144,5781.116082060138
03 June,Arunachal Pradesh,0.3978640980002094,10,0.0211864406779661,5.142857142857143,5.142857142857143,6081.665348579841
04 June,Arunachal Pradesh,0.428927680798005,5,0.010548523206751054,5.714285714285714,5.714285714285714,6383.488128940729
05 June,Arunachal Pradesh,0.4263206672845227,3,0.00392156862745098,6.142857142857143,6.142857142857143,6870.607173194062
06 June,Arunachal Pradesh,0.43513009501820443,3,0.006369426751592357,6.428571428571429,6.428571428571429,7170.519682793172
30 January,Assam,,,,,,
31 January,Assam,,,,,,
01 February,Assam,,,,,,
02 February,Assam,,,,,,
03 February,Assam,,,,,,
04 February,Assam,,,,,,
05 February,Assam,,,,,,
06 February,Assam,,,,,,
07 February,Assam,,,,,,
08 February,Assam,,,,,,
09 February,Assam,,,,,,
10 February,Assam,,,,,,
11 February,Assam,,,,,,
12 February,Assam,,,,,,
13 February,Assam,,,,,,
14 February,Assam,,,,,,
15 February,Assam,,,,,,
16 February,Assam,,,,,,
17 February,Assam,,,,,,
18 February,Assam,,,,,,
19 February,Assam,,,,,,
20 February,Assam,,,,,,
21 February,Assam,,,,,,
22 February,Assam,,,,,,
23 February,Assam,,,,,,
24 February,Assam,,,,,,
25 February,Assam,,,,,,
26 February,Assam,,,,,,
27 February,Assam,,,,,,
28 February,Assam,,,,,,
29 February,Assam,,,,,,
01 March,Assam,,,,,,
02 March,Assam,,,,,,
03 March,Assam,,,,,,
04 March,Assam,,,,,,
05 March,Assam,,,,,,
06 March,Assam,,,,,,
07 March,Assam,,,,,,
08 March,Assam,,,,,,
09 March,Assam,,,,,,
10 March,Assam,,,,,,
11 March,Assam,,,,,,
12 March,Assam,,,,,,
13 March,Assam,,,,,,
14 March,Assam,,,,,,
15 March,Assam,,,,,,
16 March,Assam,,,,,,
17 March,Assam,,,,,,
18 March,Assam,,,,,,
19 March,Assam,,,,,,
20 March,Assam,,,,,,
21 March,Assam,,,,,,
22 March,Assam,,,,,,
23 March,Assam,,,,,,
24 March,Assam,,,,,,
25 March,Assam,,,,,,
26 March,Assam,,,,,,
27 March,Assam,,,,,,
28 March,Assam,,,,,,
29 March,Assam,,,,,,
30 March,Assam,,,,,,
31 March,Assam,,,,,,
01 April,Assam,,,,,,
02 April,Assam,,,,,,
03 April,Assam,,,,,,
04 April,Assam,,,,,,
05 April,Assam,,,,,,
06 April,Assam,,,,,,
07 April,Assam,,,,,,
08 April,Assam,,,,,,
09 April,Assam,,,,,,
10 April,Assam,,,,,,
11 April,Assam,0.9631351710395217,0,,,,84.56193170120099
12 April,Assam,0.9241555130656469,0,,,,88.12864220470564
13 April,Assam,,,,,,
14 April,Assam,,,,,,
15 April,Assam,0.8856905618599502,1,,,,101.46870117450653
16 April,Assam,0.8276533592989289,2,,,,115.37044683777272
17 April,Assam,0.8026440037771483,0,0.0,0.6,0.6,118.96524167595065
18 April,Assam,0.7727272727272727,0,0.0,0.6,0.6,123.57107256236611
19 April,Assam,0.6988694758478932,0,0.0,0.6,0.6,136.63028818543435
20 April,Assam,0.6651017214397497,0,0.0,0.5,0.5,143.5671188497308
21 April,Assam,0.6166122597025753,0,0.0,0.42857142857142855,0.42857142857142855,154.85702138838334
22 April,Assam,,,,,,
23 April,Assam,,,,,,
24 April,Assam,,,,0.0,0.0,
25 April,Assam,0.48889509708059786,0,0.0,0.0,0.0,201.0557519259043
26 April,Assam,0.4473986961523712,0,0.0,0.0,0.0,219.70375014895228
27 April,Assam,0.43119379080941234,0,0.0,0.0,0.0,227.9605445428922
28 April,Assam,,,,,,
29 April,Assam,,,,0.0,0.0,
30 April,Assam,,,,,,
01 May,Assam,,,,0.0,0.0,
02 May,Assam,,,,0.0,0.0,
03 May,Assam,,,,,,
04 May,Assam,,,,,,
05 May,Assam,0.31989287308436243,1,0.0014992503748125937,1.0,1.0,377.50962667802844
06 May,Assam,,,,,,
07 May,Assam,,,,,,
08 May,Assam,,,,,,
09 May,Assam,,,,1.0,1.0,
10 May,Assam,0.3444061770914343,3,0.0016348773841961854,2.0,2.0,505.574192788117
11 May,Assam,0.32671397212721426,2,0.001260239445494644,2.0,2.0,550.1440319145886
12 May,Assam,0.29369923362856226,0,0.0,1.6666666666666667,1.6666666666666667,611.9857368651182
13 May,Assam,,,,,,
14 May,Assam,,,,1.6666666666666667,1.6666666666666667,
15 May,Assam,0.3052026403577259,0,0.0,1.25,1.25,791.3603824232619
16 May,Assam,0.2909579230080573,5,0.0016139444803098773,2.0,2.0,878.365651241037
17 May,Assam,0.28217360949499654,6,0.001935483870967742,2.6,2.6,965.4270887281585
