dates,state,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,cases_mean,cases_sd,cases_dates
19 June,ct,0.9773243891570536,0.03889546878651501,0.9010908261542356,1.0535579521598715,0.9510897844152371,1.00355899389887,71.7,8.579627031520658,06-13-2020
20 June,ct,0.9648349523929829,0.038883167156033786,0.8886255000938429,1.0410444046921228,0.9386086449779096,0.9910612598080561,68.8,6.838128398911504,06-14-2020
21 June,ct,0.9411684283077069,0.038701371107970714,0.8653152889909286,1.0170215676244851,0.9150647405090917,0.967272116106322,82.6,5.219195340279955,06-15-2020
22 June,ct,0.9514881356881684,0.039399630319312685,0.8742664362475283,1.0287098351288084,0.9249134790340952,0.9780627923422416,81.6,7.130217387990355,06-16-2020
23 June,ct,0.9512109608292676,0.03965560843752807,0.8734875545160501,1.028934367142485,0.9244636494942393,0.9779582721642959,88.7,8.355237878121724,06-17-2020
24 June,ct,0.945622393003072,0.03981749036795299,0.8675817045814989,1.0236630814246452,0.9187658939247915,0.9724788920813526,92.0,7.0,06-18-2020
25 June,ct,0.9521807941531566,0.04031108756828472,0.8731726749628212,1.031188913343492,0.9249913686992243,0.9793702196070889,89.8,7.573638491504595,06-19-2020
26 June,ct,0.9751025924606023,0.041034249241892605,0.8946771053164624,1.0555280796047422,0.9474254016894381,1.0027797832317664,72.2,8.518215775618742,06-20-2020
27 June,ct,1.0044887326382161,0.04167660984668532,0.9228042444031068,1.0861732208733255,0.9763782760627253,1.032599189213707,56.0,6.308724118235001,06-21-2020
28 June,ct,1.0220471239433224,0.041840493247355094,0.9400414307982363,1.1040528170884085,0.9938261296529138,1.050268118233731,54.0,3.3466401061363023,06-22-2020
29 June,ct,1.036363533280835,0.04194403111930087,0.95415491004825,1.11857215651342,1.0080727037311776,1.0646543628304923,59.1,5.664803615307418,06-23-2020
30 June,ct,1.033226972127207,0.04159200114213692,0.9517083135686643,1.1147456306857495,1.005173583276847,1.061280360977567,75.5,10.249390225764653,06-24-2020
01 July,ct,1.0340093706604399,0.04137941395101243,0.9529073744930135,1.1151113668278663,1.0060993697446214,1.0619193715762583,79.5,7.060453243241541,06-25-2020
02 July,ct,1.052142986095269,0.04157603701812812,0.9706556165812186,1.1336303556093192,1.0241003648869116,1.0801856073036262,80.4,6.82934843158555,06-26-2020
03 July,ct,1.081394382064627,0.04186035413654673,0.9993497623711609,1.1634390017580931,1.0531599918030676,1.1096287723261864,84.6,9.024411338142782,06-27-2020
04 July,ct,1.1301786273768493,0.04241283123337017,1.0470511746726932,1.2133060800810054,1.1015715968382533,1.1587856579154452,78.2,5.878775382679628,06-28-2020
05 July,ct,1.188846328334031,0.04297086765357864,1.104625146567723,1.2730675101003388,1.1598629078103686,1.2178297488576932,70.5,5.024937810560445,06-29-2020
06 July,ct,1.236598427076893,0.04335851658206644,1.151617468916706,1.32157938523708,1.207353541227455,1.2658433129263311,67.5,5.463515351859094,06-30-2020
